train_ids,valid_ids,test_ids
27-167,,27-243
27-153,,27-147
27-309,,27-305
27-140,,27-39
27-145,,27-184
27-296,,27-146
27-190,,27-179
27-270,,27-191
27-118,,27-260
27-233,,27-271
27-291,,27-298
27-231,,27-29
27-220,,27-76
27-77,,27-88
27-255,,27-195
27-130,,27-139
27-182,,27-207
27-282,,27-61
27-68,,27-62
27-279,,27-164
27-110,,27-101
27-198,,27-285
27-66,,27-176
27-275,,27-121
27-89,,27-96
27-113,,27-294
27-227,,27-289
27-258,,27-34
27-236,,27-313
27-234,,27-172
27-103,,27-85
27-119,,27-138
27-249,,27-131
27-133,,27-24
27-217,,27-286
27-23,,27-306
27-59,,27-37
27-155,,27-52
27-128,,27-188
27-108,,27-312
27-83,,27-186
27-53,,27-154
27-232,,27-278
27-205,,27-284
27-201,,27-67
27-163,,27-30
27-126,,27-272
27-49,,27-287
27-99,,27-32
27-60,,27-105
27-317,,27-135
27-221,,27-134
27-31,,27-196
27-226,,27-216
27-102,,27-157
27-222,,27-318
27-109,,27-92
27-293,,27-299
27-193,,27-264
27-48,,27-212
27-302,,27-211
27-215,,27-40
27-277,,27-254
27-117,,27-94
27-162,,27-268
27-81,,27-156
27-143,,27-95
27-307,,27-97
27-283,,27-262
27-44,,27-87
27-75,,27-42
27-93,,27-297
27-46,,27-247
27-111,,27-219
27-261,,27-209
27-228,,27-33
27-141,,27-240
27-214,,27-169
27-84,,27-100
27-192,,27-253
27-173,,27-280
27-56,,27-241
27-242,,27-197
27-267,,27-125
27-316,,27-57
27-107,,27-300
27-129,,27-266
27-230,,27-314
27-86,,27-41
27-245,,27-194
27-55,,27-78
27-244,,27-250
27-304,,27-315
27-177,,27-311
27-257,,27-248
27-251,,27-203
27-239,,27-137
27-165,,27-43
27-174,,27-166
27-149,,27-292
27-238,,27-104
27-183,,27-235
27-152,,27-189
27-127,,27-168
27-181,,
27-200,,
27-54,,
27-148,,
27-175,,
27-171,,
27-180,,
27-69,,
27-259,,
27-252,,
27-204,,
27-63,,
27-308,,
27-218,,
27-246,,
27-178,,
27-199,,
27-112,,
27-269,,
27-303,,
27-79,,
27-237,,
27-223,,
27-98,,
27-90,,
27-159,,
27-187,,
27-276,,
27-36,,
27-82,,
27-45,,
27-47,,
27-274,,
27-290,,
27-120,,
27-71,,
27-295,,
27-114,,
27-213,,
27-58,,
27-65,,
27-64,,
27-80,,
27-70,,
27-170,,
27-106,,
27-38,,
27-122,,
27-136,,
27-161,,
27-116,,
